Year,Month,Account,Bundle,Revenue,Orders
2023,3,ATN International,Ciena,70369.0,1
2023,3,"Allied Control Services, Inc.",Sierra Wireless,6798.0,3
2023,3,Bluebonnet Electric Cooperative,Sierra Wireless,36509.72,1
2023,3,COLSA,Nokia,82565.28,1
2023,3,CSX,Cambium Networks,5000.0,1
2023,3,CTG,Sierra Wireless,1521.46,1
2023,3,EA Science and Technology,Sierra Wireless,852.73,1
2023,3,EWA - Electronic Warfare Associates,Other,223000.0,1
2023,3,East Kentucky Power Cooperative,Sierra Wireless,933.7,1
2023,3,Exelon - Delmarva,Sierra Wireless,283500.0,1
2023,3,Exelon/BGE,Sierra Wireless,239133.68,1
2023,3,Future Technologies Innovations LLC,Other,16666.67,1
2023,3,George E. Booth Company,Sierra Wireless,8655.6,1
2023,3,Gogo Inflight,Ceragon Networks,24462.0,1
2023,3,Gogo Inflight,Professional Services,3000.0,1
2023,3,Illinois American Water,Sierra Wireless,18139.0,3
2023,3,JSat Automation Inc.,Sierra Wireless,796.81,1
2023,3,Johnson & Johnson,Use Cases,12352.94,1
2023,3,Leidos,Sierra Wireless,817264.0,1
2023,3,Occidental Petroleum,Cambium Networks,63622.35,1
2023,3,Ocean State Signal,Sierra Wireless,567.2,1
2023,3,Oceaneering,Cambium Networks,33026.0,1
2023,3,Pioneer Cellular,Sierra Wireless,41533.66,1
2023,3,Power Share Cooperative,Sierra Wireless,650.61,1
2023,3,Reliance Test & Technology (Formerly InDyne) Eglin,Cambium Networks,37537.4,1
2023,3,Southern Company,Cambium Networks,4066.97,2
2023,3,"Southern Flow, Inc.",Sierra Wireless,1948.0,1
2023,3,Specialist Commercial Solutions,Cambium Networks,6361.52,1
2023,3,Specialist Commercial Solutions,Cradlepoint,10000.0,1
2023,3,Summit Utilities,Sierra Wireless,20730.0,1
2023,3,"TOKYO OHKA KOGYO AMERICA, INC.",Sierra Wireless,372.0,1
2023,3,"TRI-R Systems, Inc",Sierra Wireless,828.37,1
2023,3,Today's Power,Sierra Wireless,6050.56,1
2023,3,Trinity Exploration & Production,Cradlepoint,100000.0,1
2023,3,Uniti Fiber,Other,1261.92,1
2023,3,Utilicom Supply,Sierra Wireless,107522.12,2
2023,3,VA-KY Communications,Sierra Wireless,2813.43,1
2023,3,West Kentucky Rural Electric,Other,453.9,1
2023,3,Western Midstream,Cambium Networks,797122.39,5
2023,3,WiLine,Other,140000.0,1
2023,3,Williams Information Technology LLC,Sierra Wireless,62021.68,3
2023,4,ATN International,Cambium Networks,5568.610000000001,2
2023,4,ATN International,Ceragon Networks,49744.8,1
2023,4,Americom,Sierra Wireless,822.97,1
2023,4,Apergy - ChampionX,Other,3829.3,2
2023,4,Atlantic Communications,Sierra Wireless,870.85,1
2023,4,CSX,Cambium Networks,4619.0,1
2023,4,California American Water,Sierra Wireless,7992.0,1
2023,4,DTE Midstream,Sierra Wireless,19896.0,1
2023,4,Engage P2P,Sierra Wireless,670.9,1
2023,4,Exelon,Other,562.33,1
2023,4,Exelon - Atlantic City Electric,Sierra Wireless,1186.16,1
2023,4,GDT,Sierra Wireless,36432.0,1
2023,4,Gogo Inflight,Other,1255.0,1
2023,4,Illinois American Water,Sierra Wireless,8940.02,2
2023,4,Indiana American Water,Sierra Wireless,799.2,1
2023,4,Irby Utilities,Other,4264.5,1
2023,4,Jakoby-cor,Other,501.43,1
2023,4,KYTC,Sierra Wireless,8454.3,1
2023,4,Maxim Automation,Sierra Wireless,4554.27,1
2023,4,Missouri American Water,Sierra Wireless,14530.08,4
2023,4,Mon Valley Integration,Sierra Wireless,1369.48,2
2023,4,NJ American Water,Sierra Wireless,32813.67,2
2023,4,Norfolk Southern,Cambium Networks,201222.81,1
2023,4,Occidental Petroleum,Cambium Networks,0.0,1
2023,4,Occidental Petroleum,Other,772.93,1
2023,4,PA American Water,Other,764.25,1
2023,4,PA American Water,Sierra Wireless,17969.58,2
2023,4,Pioneer Cellular,Other,3683.29,1
2023,4,Pioneer Electric Coop,Sierra Wireless,11880.06,1
2023,4,Powersouth Energy Cooperative,Cambium Networks,6030.36,1
2023,4,Preferred Communications,Sierra Wireless,803.84,1
2023,4,Railpower Tech LLC,Sierra Wireless,1951.83,1
2023,4,Ramboll,Other,211.5,1
2023,4,"Rockcliff Energy, LLC",Sierra Wireless,9000.0,1
