Year,Account,Bundle,Total_Amount,Total_Orders,Avg_Order_Value,Segment
2023,247 Networks,Sierra Wireless,1223.63,1,1223.63,One-time/Low Value
2023,ACT,Cambium Networks,53153.57,4,13288.3925,Champions
2023,ACT,Ceragon Networks,28265.52,2,14132.76,At Risk
2023,AECOM,Sierra Wireless,660.36,1,660.36,One-time/Low Value
2023,AEP Oklahoma,Sierra Wireless,10890.69,3,3630.23,Needs Nurture
2023,AEP Texas,Sierra Wireless,1983.03,1,1983.03,One-time/Low Value
2023,AES,Cambium Networks,39142.24,1,39142.24,Big Spenders
2023,AQWA,Sierra Wireless,625.84,1,625.84,Promising/New
2023,ATI Flat Rolled Products,Celona,215710.72,5,43142.144,Champions
2023,ATN International,Cambium Networks,54955.22,4,13738.805,Big Spenders
2023,ATN International,Ceragon Networks,49744.8,1,49744.8,Needs Nurture
2023,ATN International,Ciena,138624.66,3,46208.22,Champions
2023,"Accel Communications, Inc",Sierra Wireless,365.52,1,365.52,One-time/Low Value
2023,Accenture Federal,Other,100000.0,1,100000.0,Big Spenders
2023,Aclara - Hubbell Inc,Sierra Wireless,2747.05,1,2747.05,Needs Nurture
2023,Acoustic Technology Inc,Sierra Wireless,2735.04,1,2735.04,Needs Nurture
2023,Actemium,Sierra Wireless,2644.62,1,2644.62,Promising/New
2023,Alessios,Cradlepoint,616.76,1,616.76,One-time/Low Value
2023,Alliant Energy,Sierra Wireless,58119.4,1,58119.4,Needs Nurture
2023,"Allied Control Services, Inc.",Sierra Wireless,29218.62,14,2087.044285714286,Champions
2023,Ameresco Operations & Maintenance,Sierra Wireless,39.0,1,39.0,Promising/New
2023,American Water,Sierra Wireless,20280.48,2,10140.24,Big Spenders
2023,Americom,Sierra Wireless,822.97,1,822.97,One-time/Low Value
2023,Amscot - The Money Superstore,Other,187.96,1,187.96,Promising/New
2023,Apergy - ChampionX,Other,28766.0,6,4794.333333333333,Champions
2023,Apergy - ChampionX,Sierra Wireless,60000.0,2,30000.0,Champions
2023,Arkansas Oklahoma Gas Corporation,Sierra Wireless,64424.0,2,32212.0,Big Spenders
2023,Arklanet,Cambium Networks,7208.05,3,2402.683333333333,Needs Nurture
2023,Artesian Water,Sierra Wireless,46657.0,3,15552.33333333333,Champions
2023,Artiel Systems Integration,Sierra Wireless,1690.68,1,1690.68,One-time/Low Value
2023,Atlantic Communications,Sierra Wireless,870.85,1,870.85,One-time/Low Value
2023,Atlantic Veterinary Hospital,Peplink,1058.82,1,1058.82,One-time/Low Value
2023,Atmos Energy Corporation,Sierra Wireless,9948.0,1,9948.0,Promising/New
2023,"Automated Control Concepts, Inc./ Inflexion Point",Sierra Wireless,10476.9,2,5238.45,Loyal
2023,Avrumy's Security,Sierra Wireless,429.19,1,429.19,One-time/Low Value
2023,BAE Systems Digital Intelligence,Nokia,500000.0,1,500000.0,Needs Nurture
2023,BQ Dynetics,Cambium Networks,29271.72,1,29271.72,Big Spenders
2023,Baha Mar,Use Cases,38025.33,1,38025.33,Needs Nurture
2023,Birdi Systems,Sierra Wireless,1316.89,1,1316.89,One-time/Low Value
2023,Bluebonnet Electric Cooperative,Sierra Wireless,43243.32,2,21621.66,At Risk
2023,Boldyn Networks,Cradlepoint,10085.75,2,5042.875,Loyal
2023,Boldyn Networks,Nokia,46023.99000000001,2,23011.995,Big Spenders
2023,Bounce Imaging,Sierra Wireless,2127.97,2,1063.985,Loyal
2023,Brayman Construction,Sierra Wireless,740.61,1,740.61,One-time/Low Value
2023,COLSA,Nokia,101700.68,2,50850.34,At Risk
2023,CP Chem,Site Infrastructure,2701.16,1,2701.16,One-time/Low Value
2023,CSX,Cambium Networks,402807.25,13,30985.17307692308,Champions
2023,CTG,Sierra Wireless,1521.46,1,1521.46,One-time/Low Value
2023,"Cable Associates, Inc",Sierra Wireless,778.16,1,778.16,One-time/Low Value
2023,"Calera Gas, LLC",Sierra Wireless,760.73,1,760.73,One-time/Low Value
2023,California American Water,Sierra Wireless,26924.9,10,2692.49,Champions
2023,Cambium Networks,Cambium Networks,8159.64,1,8159.64,Needs Nurture
2023,Carrier,Cradlepoint,1252500.0,2,626250.0,Champions
2023,Chevron,Cradlepoint,25597.01,1,25597.01,Needs Nurture
2023,ChipChat Technology Group,Sierra Wireless,1156.88,1,1156.88,Promising/New
2023,Cimarron Electric,Sierra Wireless,3253.05,1,3253.05,Needs Nurture
2023,City of Austin,Sierra Wireless,129.4,1,129.4,One-time/Low Value
2023,City of Panama Beach City,Peplink,28671.31,1,28671.31,Needs Nurture
2023,City of Rock hill,Sierra Wireless,300.0,1,300.0,One-time/Low Value
2023,Clay Electric Cooperative,Sierra Wireless,1804.98,1,1804.98,Promising/New
2023,Cole Engineering Services/By-Light,Cambium Networks,181152.0,1,181152.0,Needs Nurture
2023,Cole Engineering Services/By-Light,Other,442168.75,1,442168.75,Needs Nurture
2023,Cole Engineering Services/By-Light,Professional Services,17814.2,1,17814.2,Big Spenders
2023,Cole Engineering Services/By-Light,Site Development,9285.71,1,9285.71,Needs Nurture
2023,Colossal Contracting LLC,Sierra Wireless,109711.5,1,109711.5,Big Spenders
2023,Commtech,Sierra Wireless,650.61,1,650.61,Promising/New
2023,Communication Technology Services,Sierra Wireless,1000.0,1,1000.0,Promising/New
2023,Complete Control Services,Sierra Wireless,7267.040000000001,4,1816.76,Needs Nurture
2023,Complete Control Services,Site Development,4177.56,2,2088.78,Loyal
2023,Conrail,Sierra Wireless,1886.57,1,1886.57,Promising/New
2023,ConstructCams,Sierra Wireless,6039.45,1,6039.45,Promising/New
2023,Control Systems Technology,Sierra Wireless,8719.84,2,4359.92,Loyal
2023,Convergent Energy,Cradlepoint,23100.7,1,23100.7,Big Spenders
2023,Convergint Technologies,Sierra Wireless,807.01,1,807.01,Promising/New
2023,Cooperative Energy,Sierra Wireless,19324.61,4,4831.1525,Big Spenders
2023,Cornell University,Sierra Wireless,1721.66,1,1721.66,Promising/New
2023,Cox,Cambium Networks,246281.42,7,35183.06,Champions
2023,Cox,Other,333596.25,3,111198.75,Champions
2023,Cradlepoint,Cradlepoint,88.24,1,88.24,One-time/Low Value
2023,DTE Energy,Sierra Wireless,1915.05,1,1915.05,Promising/New
2023,DTE Midstream,Sierra Wireless,19896.0,1,19896.0,Needs Nurture
2023,Darke County Sheriff,Sierra Wireless,36403.02,1,36403.02,Needs Nurture
2023,Digital Path,Sierra Wireless,1815.08,1,1815.08,Promising/New
2023,Distinctive AFWS Designs,Sierra Wireless,1328.38,2,664.19,Loyal
2023,Dixie Electric,Other,5277.1,2,2638.55,Loyal
2023,Duplicate - Irby Utilities,Sierra Wireless,5672.0,1,5672.0,Promising/New
2023,EA Science and Technology,Sierra Wireless,852.73,1,852.73,One-time/Low Value
2023,EQT,Other,1808.34,2,904.17,At Risk
2023,EQT,Sierra Wireless,64611.35,10,6461.135,Champions
2023,"ETS - Engineering & Testing Services, Inc.",Sierra Wireless,7156.710000000001,3,2385.57,Loyal
2023,EWA - Electronic Warfare Associates,Other,223000.0,1,223000.0,Needs Nurture
2023,Eagle Automation,Sierra Wireless,1324.77,2,662.385,Loyal
2023,East Kentucky Power Cooperative,Sierra Wireless,12304.99,2,6152.495000000001,Champions
2023,Eastex Tower,Ciena,447622.12,1,447622.12,Big Spenders
2023,Electronic Security Corporation,Sierra Wireless,483.14,1,483.14,One-time/Low Value
2023,Engage P2P,Sierra Wireless,670.9,1,670.9,One-time/Low Value
2023,Equitrans Midstream,Sierra Wireless,4513.78,5,902.756,Loyal
2023,Essex County Office of Emergency Services,Sierra Wireless,5878.139999999999,2,2939.07,Loyal
2023,Exelon,Other,562.33,1,562.33,One-time/Low Value
2023,Exelon - Atlantic City Electric,Sierra Wireless,2372.32,2,1186.16,At Risk
2023,Exelon - Delmarva,Sierra Wireless,283500.0,1,283500.0,Needs Nurture
2023,Exelon - PECO,Sierra Wireless,30194.69,3,10064.89666666667,At Risk
2023,Exelon/BGE,Sierra Wireless,284133.68,2,142066.84,At Risk
2023,Fairfax County PD,Sierra Wireless,2766.2,1,2766.2,Needs Nurture
2023,Fischer Block,Sierra Wireless,3803.65,2,1901.825,At Risk
2023,Fleaux Services,Sierra Wireless,6632.0,1,6632.0,Needs Nurture
2023,Floor and Decor,Cradlepoint,195348.33,2,97674.165,Champions
2023,Fusion World Wide,Sierra Wireless,65061.0,1,65061.0,Big Spenders
